Year,Light distillates - Liquified Petroleum Gas @,Light distillates - Motor Gasoline,Light distillates - Naphtha,Middle distillates - Kerosene,Middle distillates - Aviation Turbine Fuel,Middle distillates - High Speed Diesel Oil,Middle distillates - Light Diesel Oil,Heavy ends - Fuel oil,Heavy ends - Lubricants,"Heavy ends - Petroleum 
Coke",Heavy ends - Bitumen,Others*,Total,% Annual growth
2000-01,4.088,8.07,9.908,8.714,2.513,39.052,1.481,11.392,0.684,2.473,2.721,4.518,95.614,20.40549049
2001-02,4.78,9.7,9.18,9.68,2.6,39.9,1.7,12.23,0.65,2.78,2.56,4.25,100,4.587194344
2002-03,4.9,10.36,9.65,10.03,3.05,40.21,2.08,12.17,0.68,2.66,2.94,5.41,104.14,4.14
2003-04,5.35,11,11.32,10.19,4.29,43.32,1.66,13.37,0.67,2.74,3.4,6.17,113.46,8.94949107
2004-05,5.57,11.06,14.1,9.3,5.2,45.9,1.55,14.97,0.65,3.16,3.35,3.78,118.58,4.512603561
2005-06,7.71,10.502,16.09,9.24,6.196,47.59,0.923,14.305,0.677,3.182,3.576,4.42,124.41,4.916512059
2006-07,8.41,12.539,18.14,8.63,7.805,53.48,0.803,15.697,0.825,3.779,3.891,5.75,139.75,12.33019854
2007-08,8.79,14.167,17.96,7.97,9.107,58.38,0.671,15.805,0.881,4.13,4.51,7.1,149.47,6.955277281
2008-09,9.16,16.02,16.45,8.39,8.071,62.91,0.606,17.684,0.874,4.24,4.71,6.03,155.15,3.800093664
2009-10,10.33,22.54,18.79,8.7,9.3,73.3,0.47,18.35,0.95,3.71,4.89,13.28,184.61,18.98807606
2010-11,9.71,26.14,19.2,7.81,9.59,78.06,0.59,20.52,0.88,2.71,4.48,15.14,194.82,5.530577975
2011-12,9.55,27.19,18.83,7.86,10.06,82.88,0.5,18.43,1.03,7.84,4.61,14.43,203.2,4.301406426
2012-13(P),9.82,30.12,17.35,7.87,10.08,91.08,0.4,15.05,0.9,10.94,4.67,19.45,217.74,7.155511811
